,x,y
0,1,53.21429666509318
1,2,26.615843347448646
2,3,20.339574544306984
3,4,17.8278481841807
4,5,15.672805828816653
5,6,15.108231456456155
6,7,13.35363480545344
7,8,12.230882619781198
8,9,11.276249629830584
9,10,10.772742664138473
10,11,10.20337881568792
11,12,9.757179041892323
12,13,9.326566235576642
13,14,8.77995503900992
14,15,8.421041516106511
15,16,7.978095034857309
16,17,7.656188022808815
17,18,7.172353086449625
18,19,7.165021966460805
19,20,6.547772321306134
20,21,6.630797291108738
21,22,6.415675109495239
22,23,6.401108311162539
23,24,5.841482828669451
24,25,5.815578360517258
25,26,5.58143215388116
26,27,5.370591557718444
27,28,5.237676123460501
28,29,5.126888663311036
29,30,4.92141221169777
30,31,4.7931542780255025
31,32,4.963644994452702
32,33,4.665035628851161
33,34,4.498882383360878
34,35,4.346105299846732
35,36,4.095535426395897
36,37,4.027922017920559
37,38,4.023494764946176
38,39,4.0183627825269435
39,40,3.769580633471196
40,41,3.9103544492875244
41,42,3.7206090198238706
42,43,3.784475102031918
43,44,3.474430514454062
44,45,3.3117360222986263
45,46,3.2952334708708846
46,47,3.401795224231185
47,48,3.255113635563019
48,49,3.146568673444703
49,50,3.1690785585111985
