,x,y
0,1,206.3150698783997
1,2,202.76045221798287
2,3,188.9225455516901
3,4,191.2230039942351
4,5,186.44656003651275
5,6,188.9579805091
6,7,188.08176015372248
7,8,183.77458743572353
8,9,174.5939831196716
9,10,180.11822650112074
10,11,176.3749607449295
11,12,170.20985690987408
12,13,168.3983142363769
13,14,171.6471149075162
14,15,164.13499013690566
15,16,163.21411666150357
16,17,156.67280873943434
17,18,150.05684348252362
18,19,138.9185849158006
19,20,123.75958575607018
20,21,39.68828099408996
21,22,21.215134486493934
22,23,14.068941207767752
23,24,13.946457995098495
24,25,11.034477832553202
25,26,9.350845392976431
26,27,8.37899423565874
27,28,7.732943497512392
28,29,6.976891058836963
29,30,5.9562573948071496
30,31,5.361697399389324
31,32,5.428172966808229
32,33,4.967571982928935
33,34,4.890792551509372
34,35,4.353327732143329
35,36,4.067729351206427
36,37,3.685078294750504
37,38,3.5863494055122134
38,39,3.5633278991026502
39,40,3.274004444083801
40,41,3.1798433071050543
41,42,3.063367175604401
42,43,2.9623182160492965
43,44,2.78293867628627
44,45,2.4810697810667297
45,46,2.341907389710654
46,47,2.36849122012105
47,48,2.3725549205376795
48,49,2.1759284466184514
49,50,2.0478681020752747
