,x,y
0,1,66.25456789799644
1,2,66.16023083633999
2,3,66.0170752134332
3,4,65.78599162936979
4,5,65.27691641947163
5,6,65.00420102289492
6,7,64.974032159124
7,8,64.78004460224493
8,9,64.19852217761913
9,10,64.20170432391254
10,11,63.77606701781861
11,12,63.50191114931555
12,13,63.266076329564925
13,14,62.457920243947996
14,15,62.59571843416541
15,16,62.1164419392613
16,17,61.26270452095716
17,18,61.389280909446896
18,19,61.08420967268148
19,20,60.78077357841476
20,21,59.872626253418645
21,22,58.739079455827714
22,23,58.57038600447555
23,24,59.008647703508984
24,25,58.07258136911634
25,26,57.517024972036495
26,27,57.36123546001696
27,28,56.905802034371625
28,29,56.268773058113794
29,30,55.66312011436195
30,31,54.19476628329079
31,32,53.78358152534172
32,33,53.34916116846511
33,34,52.934654105033175
34,35,51.71592605745792
35,36,50.665056396274444
36,37,50.2272072050855
37,38,48.23657234587339
38,39,47.68409965324425
39,40,46.43505838000818
40,41,45.431187648458796
41,42,44.06485587351853
42,43,42.79273542944372
43,44,39.807201810545415
44,45,38.01608149955398
45,46,36.40236736315726
46,47,33.13393046362803
47,48,28.278688330507297
48,49,23.17524946603199
49,50,20.043469200464067
