,x,y1,y2
0,26.09452121895154,4.092185255698939,6.1277138674639495
1,20.042025649468243,4.126787063824009,6.830336851476443
2,16.50309856051608,4.19761539206834,8.011257654724723
3,13.974057576994923,4.295171265452973,9.66463228741395
4,12.063211709769968,4.4605520337045315,11.857176819345074
5,10.390066409853272,4.562190299512663,14.633457990102226
6,8.95790286008952,4.825864043709075,18.084407556061322
7,7.852696033493965,5.003670214628609,21.516608878559822
8,6.971273926442405,5.195213842260918,25.121666586948876
9,5.944866207201173,5.54959007779706,29.9264393744202
10,5.143366310750737,5.814904631731757,35.48030096051432
11,4.413232394521962,6.109005507861528,40.56048813537436
12,3.918178761912101,6.278658476045866,44.4084227850662
13,2.9941040033437005,6.840667974244626,53.61846878449951
14,2.5317957847309405,7.240080572792021,59.12724548094972
15,1.875606922523843,7.808092321113104,68.08944705680912
16,1.3279592278109347,8.241344545260906,76.54649032676575
17,0.8180189851763108,8.592031120230237,83.87092922767653
18,0.37891502366048857,9.244482482851652,93.31540886994983
19,-0.012323537505967638,9.524673459622102,100.49154628940335
